"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 23 02:30:27 UTC 2023","Thu Nov 23 02:31:24 UTC 2023","56984","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Thu Nov 23 03:21:02 UTC 2023","Thu Nov 23 03:21:23 UTC 2023","20072","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Thu Nov 23 03:47:07 UTC 2023","Thu Nov 23 03:47:13 UTC 2023","5939","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Thu Nov 23 02:50:32 UTC 2023","Thu Nov 23 02:50:45 UTC 2023","13131","","6. Company Account","","","","1. Validate login credentials",""
"passed","Thu Nov 23 03:54:11 UTC 2023","Thu Nov 23 03:54:12 UTC 2023","1474","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Thu Nov 23 03:45:17 UTC 2023","Thu Nov 23 03:45:19 UTC 2023","2361","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Thu Nov 23 02:27:29 UTC 2023","Thu Nov 23 02:27:50 UTC 2023","21397","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Thu Nov 23 03:52:00 UTC 2023","Thu Nov 23 03:52:04 UTC 2023","3433","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Thu Nov 23 02:39:49 UTC 2023","Thu Nov 23 02:39:52 UTC 2023","3293","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Nov 23 02:33:22 UTC 2023","Thu Nov 23 02:33:38 UTC 2023","15563","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Nov 23 03:28:48 UTC 2023","Thu Nov 23 03:29:12 UTC 2023","24483","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Thu Nov 23 02:48:00 UTC 2023","Thu Nov 23 02:48:06 UTC 2023","5053","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Nov 23 03:34:14 UTC 2023","Thu Nov 23 03:34:16 UTC 2023","2465","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Thu Nov 23 02:51:22 UTC 2023","Thu Nov 23 02:51:24 UTC 2023","2413","","6. Company Account","","","","6. Review Review Page",""
"passed","Thu Nov 23 02:41:57 UTC 2023","Thu Nov 23 02:42:02 UTC 2023","4668","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Nov 23 02:35:40 UTC 2023","Thu Nov 23 02:35:51 UTC 2023","10598","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Thu Nov 23 02:48:54 UTC 2023","Thu Nov 23 02:48:54 UTC 2023","378","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Thu Nov 23 03:34:20 UTC 2023","Thu Nov 23 03:34:23 UTC 2023","2418","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Thu Nov 23 03:23:06 UTC 2023","Thu Nov 23 03:23:08 UTC 2023","2154","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Thu Nov 23 03:38:38 UTC 2023","Thu Nov 23 03:42:48 UTC 2023","250426","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Thu Nov 23 03:54:53 UTC 2023","Thu Nov 23 03:56:06 UTC 2023","73172","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Thu Nov 23 03:51:15 UTC 2023","Thu Nov 23 03:51:15 UTC 2023","22","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Thu Nov 23 03:47:23 UTC 2023","Thu Nov 23 03:47:25 UTC 2023","2279","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Thu Nov 23 03:52:47 UTC 2023","Thu Nov 23 03:52:51 UTC 2023","3954","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Thu Nov 23 03:51:15 UTC 2023","Thu Nov 23 03:51:35 UTC 2023","20100","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Thu Nov 23 02:41:34 UTC 2023","Thu Nov 23 02:41:50 UTC 2023","16211","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Nov 23 03:34:04 UTC 2023","Thu Nov 23 03:34:14 UTC 2023","9886","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Thu Nov 23 02:48:52 UTC 2023","Thu Nov 23 02:48:54 UTC 2023","2466","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Nov 23 03:31:52 UTC 2023","Thu Nov 23 03:32:35 UTC 2023","43338","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Thu Nov 23 03:47:13 UTC 2023","Thu Nov 23 03:47:14 UTC 2023","338","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Thu Nov 23 03:29:14 UTC 2023","Thu Nov 23 03:29:54 UTC 2023","39985","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Thu Nov 23 03:54:04 UTC 2023","Thu Nov 23 03:54:11 UTC 2023","6870","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Thu Nov 23 02:48:06 UTC 2023","Thu Nov 23 02:48:16 UTC 2023","10421","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Thu Nov 23 02:34:12 UTC 2023","Thu Nov 23 02:34:18 UTC 2023","6164","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Thu Nov 23 02:30:00 UTC 2023","Thu Nov 23 02:30:20 UTC 2023","19490","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Thu Nov 23 03:38:23 UTC 2023","Thu Nov 23 03:38:38 UTC 2023","14442","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Thu Nov 23 03:54:12 UTC 2023","Thu Nov 23 03:54:53 UTC 2023","40725","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Thu Nov 23 03:18:40 UTC 2023","Thu Nov 23 03:18:41 UTC 2023","735","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Thu Nov 23 02:33:51 UTC 2023","Thu Nov 23 02:34:12 UTC 2023","21034","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Nov 23 03:47:14 UTC 2023","Thu Nov 23 03:47:23 UTC 2023","8723","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Thu Nov 23 02:28:16 UTC 2023","Thu Nov 23 02:28:27 UTC 2023","11263","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Thu Nov 23 03:50:52 UTC 2023","Thu Nov 23 03:51:07 UTC 2023","14749","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Thu Nov 23 03:17:49 UTC 2023","Thu Nov 23 03:18:00 UTC 2023","10867","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Thu Nov 23 02:45:39 UTC 2023","Thu Nov 23 02:45:42 UTC 2023","2502","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Thu Nov 23 02:39:36 UTC 2023","Thu Nov 23 02:39:49 UTC 2023","12731","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Thu Nov 23 03:20:46 UTC 2023","Thu Nov 23 03:21:00 UTC 2023","13633","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Thu Nov 23 02:30:20 UTC 2023","Thu Nov 23 02:30:27 UTC 2023","7109","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Thu Nov 23 02:27:03 UTC 2023","Thu Nov 23 02:27:29 UTC 2023","26070","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Thu Nov 23 03:34:27 UTC 2023","Thu Nov 23 03:34:41 UTC 2023","13471","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Thu Nov 23 03:51:35 UTC 2023","Thu Nov 23 03:52:00 UTC 2023","24724","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Thu Nov 23 03:45:07 UTC 2023","Thu Nov 23 03:45:17 UTC 2023","9553","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Thu Nov 23 02:35:51 UTC 2023","Thu Nov 23 02:35:51 UTC 2023","579","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Nov 23 03:47:26 UTC 2023","Thu Nov 23 03:47:27 UTC 2023","928","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
